Covek po imenu Uve, Fredrik Bakman, 978-86-521-2465-7, Drama, Komedija, 20.2.2017., 899.00
Muz koji nije znao da voli, Jan-Philipp Sendker, 978-86-521-1574-7, Ljubavni, Drama, 12.5.2018., 1020.50
Arsen Lupen, Moris Leblan, 978-86-521-1223-4, Misterija, Avantura, 5.6.2015., 720.00
Lovac u zitu, Dz. D. Selindzer, 978-86-515-0987-6, Klasik, Drama, 14.8.2016., 860.00
Zlocin i kazna, Fjodor Dostojevski, 978-86-521-1732-1, Klasik, Drama, 7.3.2014., 950.00
Igre gladi, Suzan Kolins, 978-86-86525-34-7, Distopija, Avantura, 15.7.2019., 780.00
Sto godina samoce, Gabrijel Garsija Markes, 978-86-521-2784-9, Klasik, Drama, 10.1.2012., 890.00
Hobit, Dz. R. R. Tolkin, 978-86-521-0912-8, Fantastika, Avantura, 22.9.2010., 930.00
Ponos i predrasuda, Dz. Ostin, 978-86-521-0037-8, Klasik, Ljubavni, 18.4.2013., 810.00
Dina, Frenk Herbert, 978-86-521-3025-3, Fantastika, Avantura, 30.11.2021., 1040.00
